,SUCURSAL,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
0,AMAZON,0.1880946460202543,0.1934687787636902,0.1481245337409503,0.1334576297953233,0.1253964306801696,0.1203805734529628,0.0910774075466494
1,MERCADOLIBRE,0.1624035888556587,0.1666929009916574,0.1646859751298599,0.1421375728002518,0.135762631827483,0.1190776011333228,0.109239729261766
2,INTERNET,0.1637966662074666,0.1639068742250999,0.1595812095329935,0.1485053037608486,0.1383661661385866,0.1146163383386141,0.1112274417963907
0,TOTAL CADENA,0.17143163369445988,0.1746895179934825,0.15746390613460123,0.14136683545214124,0.13317507621541305,0.11802483764163323,0.1038481928682687
