HORA_VENTA,Lunes,Martes,MiÃ©rcoles,Jueves,Viernes,SÃ¡bado,Domingo,SUCURSAL
20.0,0.0,0.0,0.0,0.0015243902439024,0.0,0.0,0.0,AMAZON
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
7.0,0.0004995004995004833,0.0006972359913959501,0.00028740294325815,0.0002378301871073167,0.00035305569876703334,0.0,0.0,TOTAL CADENA
8.0,0.017597410838316768,0.02559149929018607,0.0267851772420252,0.0240614867738398,0.024855499363641165,0.0068648183717155,0.0,TOTAL CADENA
9.0,0.13917795708169034,0.1913879147114018,0.18111851414211963,0.1696055095869974,0.17125287073423542,0.09139107589234423,0.0,TOTAL CADENA
10.0,0.06930752093956564,0.07111105997081886,0.08069465064646016,0.07330041031300923,0.09450794244592199,0.11278330859488904,0.0135688048683374,TOTAL CADENA
11.0,0.0784655769384099,0.06068245046175896,0.06627480660163673,0.07833100330914813,0.06358241278141537,0.1449571831264699,0.11801605889805115,TOTAL CADENA
12.0,0.11335939130838753,0.0965675079848526,0.09279331256096067,0.1056099335566139,0.10557120909848472,0.13311399354497,0.14109912193281285,TOTAL CADENA
13.0,0.1411738794487327,0.1312582448601041,0.11452718515218575,0.13056661809736494,0.1453909511539857,0.14692136255674235,0.1278201044715207,TOTAL CADENA
14.0,0.14333503623094968,0.12457674039226439,0.11373894800336902,0.10971882685792494,0.12555875391373508,0.1190211823428618,0.17541099147126962,TOTAL CADENA
15.0,0.10917035997994246,0.11462843949564444,0.1220786860345227,0.10618231771855123,0.10490635468269534,0.09160721483338767,0.0511343670638895,TOTAL CADENA
16.0,0.0500841853810629,0.0484859203846165,0.058055121980534106,0.05085899801478347,0.03588075707536643,0.0620597790390787,0.16061383274564367,TOTAL CADENA
17.0,0.022050517004425965,0.028540053075985432,0.01895080733569327,0.036851188769345435,0.04217227713553606,0.04229854335651236,0.11409417034566872,TOTAL CADENA
18.0,0.047381802726887225,0.0438759019757112,0.053586501388444806,0.04209419900707793,0.04544037513959694,0.028415476667203596,0.07592327616928776,TOTAL CADENA
19.0,0.0678141110393773,0.061648096445828936,0.07027962445061924,0.0718357175398276,0.04008881729750336,0.0197609086947584,0.0223192720335182,TOTAL CADENA
20.0,0.0001248751248751,0.0003775484520513,0.0008127878623679,0.0007621951219512,0.0001285016705217,0.001207729468599,0.0,TOTAL CADENA
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOTAL CADENA
