HORA,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,SUCURSAL
0,0.05,0.0694444444444444,0.0952380952380952,0.087248322147651,0.0214285714285714,0.046875,0.0760869565217391,AMAZON
1,0.0409090909090909,0.0555555555555555,0.0793650793650793,0.0604026845637583,0.05,0.078125,0.108695652173913,AMAZON
2,0.0545454545454545,0.0879629629629629,0.0846560846560846,0.0536912751677852,0.1214285714285714,0.078125,0.0652173913043478,AMAZON
3,0.0636363636363636,0.074074074074074,0.0687830687830687,0.0536912751677852,0.0714285714285714,0.046875,0.0326086956521739,AMAZON
4,0.0363636363636363,0.0879629629629629,0.0793650793650793,0.0536912751677852,0.0785714285714285,0.03125,0.0326086956521739,AMAZON
5,0.0363636363636363,0.0555555555555555,0.037037037037037,0.0402684563758389,0.0285714285714285,0.0078125,0.0108695652173913,AMAZON
6,0.0272727272727272,0.0231481481481481,0.0158730158730158,0.0402684563758389,0.0357142857142857,0.0390625,0.0434782608695652,AMAZON
7,0.0181818181818181,0.0138888888888888,0.0158730158730158,0.0067114093959731,,,,AMAZON
8,0.0181818181818181,,0.0052910052910052,,0.0071428571428571,0.0078125,0.0217391304347826,AMAZON
9,0.0045454545454545,,0.0052910052910052,0.0067114093959731,0.0071428571428571,0.015625,0.0108695652173913,AMAZON
10,,0.0046296296296296,0.0052910052910052,0.0067114093959731,,,,AMAZON
11,,,0.0052910052910052,,0.0142857142857142,,,AMAZON
12,0.0045454545454545,0.0046296296296296,0.0052910052910052,,,,,AMAZON
13,0.0318181818181818,0.0046296296296296,0.0211640211640211,0.0536912751677852,0.0214285714285714,0.03125,,AMAZON
14,0.0227272727272727,0.0231481481481481,0.0264550264550264,0.0536912751677852,0.0285714285714285,0.0390625,0.0217391304347826,AMAZON
15,0.0409090909090909,0.0416666666666666,0.0423280423280423,0.0402684563758389,0.0357142857142857,0.0390625,0.0543478260869565,AMAZON
16,0.0318181818181818,0.0694444444444444,0.0476190476190476,0.0402684563758389,0.1,0.078125,0.0434782608695652,AMAZON
17,0.0772727272727272,0.0879629629629629,0.0582010582010582,0.0671140939597315,0.0642857142857142,0.0703125,0.0434782608695652,AMAZON
18,0.0454545454545454,0.0555555555555555,0.0476190476190476,0.0604026845637583,0.05,0.078125,0.0760869565217391,AMAZON
19,0.0545454545454545,0.037037037037037,0.0793650793650793,0.0604026845637583,0.0571428571428571,0.03125,0.0760869565217391,AMAZON
20,0.0909090909090909,0.037037037037037,0.0423280423280423,0.0402684563758389,0.05,0.078125,0.108695652173913,AMAZON
21,0.0681818181818181,0.0462962962962962,0.0476190476190476,0.0536912751677852,0.0714285714285714,0.0625,0.0652173913043478,AMAZON
22,0.1045454545454545,0.037037037037037,0.0264550264550264,0.0604026845637583,0.0428571428571428,0.0859375,0.0543478260869565,AMAZON
23,0.0772727272727272,0.0833333333333333,0.0582010582010582,0.0604026845637583,0.0428571428571428,0.0546875,0.0543478260869565,AMAZON
0,0.0114971257185703,0.0153098420413122,0.0142541164905382,0.0145922746781115,0.0125298329355608,0.0133242227536727,0.0152359717577108,MERCADOLIBRE
1,0.005498625343664,0.0077764277035236,0.0090931432784467,0.0057224606580829,0.0074582338902147,0.0126409292791253,0.0074321813452248,MERCADOLIBRE
2,0.0039990002499375,0.0036452004860267,0.0027033669206193,0.0045779685264663,0.0071599045346062,0.0044414075845575,0.0044593088071348,MERCADOLIBRE
3,0.0024993751562109,0.0019441069258809,0.0017203244040304,0.0031473533619456,0.0032816229116945,0.0027331738981892,0.0037160906726124,MERCADOLIBRE
4,0.0009997500624843,0.0024301336573511,0.0027033669206193,0.0022889842632331,0.0029832935560859,0.0027331738981892,0.0022296544035674,MERCADOLIBRE
5,0.0034991252186953,0.0058323207776427,0.0041779306955025,0.0060085836909871,0.0047732696897374,0.0051247010591048,0.0026012634708286,MERCADOLIBRE
6,0.0074981254686328,0.0099635479951397,0.0137625952322437,0.009728183118741,0.0098448687350835,0.0092244619063887,0.0066889632107023,MERCADOLIBRE
7,0.0177455636090977,0.0213851761846901,0.0231014991398378,0.0268955650929899,0.0229713603818615,0.0215237444482405,0.0126347082868822,MERCADOLIBRE
8,0.034491377155711,0.0349939246658566,0.0356352912263455,0.0349070100143061,0.0417661097852028,0.04202254868466,0.0274990709773318,MERCADOLIBRE
9,0.0464883779055236,0.0546780072904009,0.0538215777832391,0.059799713876967,0.0534009546539379,0.0495387769046805,0.0419918246005202,MERCADOLIBRE
10,0.0637340664833791,0.0546780072904009,0.0616859179159498,0.0669527896995708,0.0668257756563245,0.0649128800819952,0.0505388331475288,MERCADOLIBRE
11,0.0709822544363909,0.0692588092345079,0.0720078643401327,0.0746781115879828,0.0763723150357995,0.0734540485138366,0.0553697510219249,MERCADOLIBRE
12,0.0772306923269182,0.078007290400972,0.0737281887441631,0.0786838340486409,0.0769689737470167,0.0792620430474888,0.0613154960981047,MERCADOLIBRE
13,0.0742314421394651,0.067557715674362,0.0820840501351683,0.0709585121602289,0.0739856801909307,0.0925862658011616,0.0575994054254923,MERCADOLIBRE
14,0.0664833791552112,0.0726609963547995,0.0614401572868026,0.0663805436337625,0.0775656324582338,0.0587632388110693,0.0579710144927536,MERCADOLIBRE
15,0.0654836290927268,0.0605103280680437,0.0641435242074219,0.0589413447782546,0.0575775656324582,0.057055005124701,0.0720921590486807,MERCADOLIBRE
16,0.0622344413896525,0.0646415552855407,0.0579995084787417,0.0580829756795422,0.0599642004773269,0.0638879398701742,0.060200668896321,MERCADOLIBRE
17,0.0707323169207698,0.054921020656136,0.0599655935119193,0.059799713876967,0.0581742243436754,0.0512470105910488,0.0694908955778521,MERCADOLIBRE
18,0.0617345663584103,0.0634264884568651,0.0638977635782747,0.0589413447782546,0.0596658711217183,0.0584215920737956,0.0654031958379784,MERCADOLIBRE
19,0.0622344413896525,0.0626974483596597,0.0614401572868026,0.055793991416309,0.0545942720763723,0.0573966518619747,0.0728353771832032,MERCADOLIBRE
20,0.0629842539365158,0.0609963547995139,0.0555419021872696,0.0592274678111588,0.0560859188544152,0.0488554834301332,0.0717205499814195,MERCADOLIBRE
21,0.0519870032491877,0.0592952612393681,0.0570164659621528,0.0546494992846924,0.0525059665871121,0.0529552442774171,0.072463768115942,MERCADOLIBRE
